"year","countrycode","div_tax","cg_tax","corp_tax","avg_tax_c","eff_tax_c","div_penalty"
1990,"AUS",15.16393443,48.5,39,22.03231877,14.53781,-0.6473022442
1991,"AUS",15.16393443,48.5,39,22.03231877,14.53781,-0.6473022442
1992,"AUS",15.16393443,48.5,39,22.03231877,14.53781,-0.6473022442
1993,"AUS",22.98507463,48.5,33,28.24203315,20.74752,-0.4954354441
1994,"AUS",22.98507463,48.5,33,28.24203315,20.74752,-0.4954354441
1995,"AUS",19.53125,48.5,36,25.49981604,18.00531,-0.5625
1996,"AUS",19.53125,48.5,36,25.49981604,18.00531,-0.5625
1997,"AUS",19.53125,48.5,36,25.49981604,18.00531,-0.5625
1998,"AUS",19.53125,48.5,36,25.49981604,18.00531,-0.5625
1999,"AUS",19.53125,48.5,36,25.49981604,18.00531,-0.5625
2000,"AUS",21.96969697,24.25,36,22.43951839,18.69226,-0.0301030103
2001,"AUS",26.42857143,24.25,34,25.97971024,22.23245,0.0287600189
2002,"AUS",26.42857143,24.25,30,25.97971024,22.23245,0.0287600189
2003,"AUS",26.42857143,24.25,30,25.97971024,22.23245,0.0287600189
2004,"AUS",26.42857143,24.25,30,25.97971024,22.23245,0.0287600189
2005,"AUS",26.42857143,24.25,30,25.97971024,22.23245,0.0287600189
2006,"AUS",23.57142857,23.25,30,23.50520315,19.91247,0.0041879944
2007,"AUS",23.57142857,23.25,30,23.50520315,19.91247,0.0041879944
2008,"AUS",23.57142857,23.25,30,23.50520315,19.91247,0.0041879944
1990,"AUT",25,0,30,21.04254913,21.04255,0.25
1991,"AUT",25,0,30,21.04254913,21.04255,0.25
1992,"AUT",25,0,30,21.04254913,21.04255,0.25
1993,"AUT",25,0,30,21.04254913,21.04255,0.25
1994,"AUT",22,0,34,18.51744461,18.51744,0.22
1995,"AUT",22,0,34,18.51744461,18.51744,0.22
1996,"AUT",22,0,34,18.51744402,18.51744,0.22
1997,"AUT",25,0,34,21.04254913,21.04255,0.25
1998,"AUT",25,0,34,21.04254913,21.04255,0.25
1999,"AUT",25,0,34,21.04254913,21.04255,0.25
2000,"AUT",25,0,34,21.04254913,21.04255,0.25
2001,"AUT",25,0,34,21.04254913,21.04255,0.25
2002,"AUT",25,0,34,21.04254913,21.04255,0.25
2003,"AUT",25,0,34,21.04254913,21.04255,0.25
2004,"AUT",25,0,34,21.04254913,21.04255,0.25
2005,"AUT",25,0,25,21.04254913,21.04255,0.25
2006,"AUT",25,0,25,21.04254913,21.04255,0.25
2007,"AUT",25,0,25,21.04254913,21.04255,0.25
2008,"AUT",25,0,25,21.04254913,21.04255,0.25
1990,"BEL",25,41,41,29.4932316,20.8578,-0.2711864407
1991,"BEL",25,39,39,28.93157765,20.71739,-0.2295081967
1992,"BEL",25,39,39,28.93157765,20.71739,-0.2295081967
1993,"BEL",25,40.17,40.17,29.26014521,20.79953,-0.2535517299
1994,"BEL",25,40.17,40.17,29.26014521,20.79953,-0.2535517299
1995,"BEL",15,40.17,40.17,22.06841496,13.6078,-0.4206919606
1996,"BEL",15,40.17,40.17,22.06841496,13.6078,-0.4206919606
1997,"BEL",15,40.17,40.17,22.06841496,13.6078,-0.4206919606
1998,"BEL",15,40.17,40.17,22.06841496,13.6078,-0.4206919606
1999,"BEL",15,40.17,40.17,22.06841496,13.6078,-0.4206919606
2000,"BEL",15,40.17,40.17,22.06841496,13.6078,-0.4206919606
2001,"BEL",15,40.17,40.17,22.06841496,13.6078,-0.4206919606
2002,"BEL",15,10,40.17,13.59586512,11.48966,0.0555555556
2003,"BEL",15,10,33.99,13.59586512,11.48966,0.0555555556
2004,"BEL",15,10,33.99,13.59586512,11.48966,0.0555555556
2005,"BEL",15,10,33.99,13.59586512,11.48966,0.0555555556
2006,"BEL",15,10,33.99,13.59586512,11.48966,0.0555555556
2007,"BEL",15,10,33.99,13.59586512,11.48966,0.0555555556
2008,"BEL",15,10,33.99,13.59586512,11.48966,0.0555555556
1990,"CAN",38.29843712,35.0775,41.45,37.37857819,29.8653,0.0496120315
